Case ID,Activity,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,concept:name,lifecycle:transition
21,toilet,2011/06/16 06:31:41.000,2011/06/16 06:46:21.000,Variant 2,2,Fluxicon Disco,toilet,complete
21,sleep,2011/06/16 06:46:50.000,2011/06/16 08:39:19.000,Variant 2,2,Fluxicon Disco,sleep,complete
21,work,2011/06/16 08:40:15.000,2011/06/16 11:25:24.000,Variant 2,2,Fluxicon Disco,work,complete
21,dress,2011/06/16 11:25:48.000,2011/06/16 11:27:35.000,Variant 2,2,Fluxicon Disco,dress,complete
21,work,2011/06/16 11:27:48.000,2011/06/16 11:38:11.000,Variant 2,2,Fluxicon Disco,work,complete
21,mealpreperation,2011/06/16 11:41:39.000,2011/06/16 11:43:21.000,Variant 2,2,Fluxicon Disco,mealpreperation,complete
21,eatingdrinking,2011/06/16 11:43:27.000,2011/06/16 11:45:41.000,Variant 2,2,Fluxicon Disco,eatingdrinking,complete
21,medication,2011/06/16 11:45:43.000,2011/06/16 11:49:16.000,Variant 2,2,Fluxicon Disco,medication,complete
21,groom,2011/06/16 11:49:32.000,2011/06/16 12:03:19.000,Variant 2,2,Fluxicon Disco,groom,complete
21,snack,2011/06/16 12:03:50.000,2011/06/16 12:09:46.000,Variant 2,2,Fluxicon Disco,snack,complete
21,eatingdrinking,2011/06/16 12:11:44.000,2011/06/16 12:33:54.000,Variant 2,2,Fluxicon Disco,eatingdrinking,complete
21,snack,2011/06/16 12:45:22.000,2011/06/16 13:07:46.000,Variant 2,2,Fluxicon Disco,snack,complete
21,work,2011/06/16 13:09:49.000,2011/06/16 13:34:29.000,Variant 2,2,Fluxicon Disco,work,complete
21,snack,2011/06/16 13:35:29.000,2011/06/16 13:36:50.000,Variant 2,2,Fluxicon Disco,snack,complete
21,outdoors,2011/06/16 13:37:07.000,2011/06/16 14:10:56.000,Variant 2,2,Fluxicon Disco,outdoors,complete
21,work,2011/06/16 14:31:39.000,2011/06/16 14:56:43.000,Variant 2,2,Fluxicon Disco,work,complete
21,outdoors,2011/06/16 14:57:16.000,2011/06/16 15:09:17.000,Variant 2,2,Fluxicon Disco,outdoors,complete
21,work,2011/06/16 15:09:33.000,2011/06/16 15:14:48.000,Variant 2,2,Fluxicon Disco,work,complete
21,mealpreperation,2011/06/16 15:15:01.000,2011/06/16 15:52:38.000,Variant 2,2,Fluxicon Disco,mealpreperation,complete
21,work,2011/06/16 15:53:44.000,2011/06/16 16:48:52.000,Variant 2,2,Fluxicon Disco,work,complete
21,sleep,2011/06/16 16:53:19.000,2011/06/16 17:30:53.000,Variant 2,2,Fluxicon Disco,sleep,complete
21,work,2011/06/16 17:31:50.000,2011/06/16 18:01:42.000,Variant 2,2,Fluxicon Disco,work,complete
21,medication,2011/06/16 18:02:00.000,2011/06/16 18:02:45.000,Variant 2,2,Fluxicon Disco,medication,complete
21,work,2011/06/16 18:17:46.000,2011/06/16 18:18:20.000,Variant 2,2,Fluxicon Disco,work,complete
21,work,2011/06/16 18:54:31.000,2011/06/16 18:59:47.000,Variant 2,2,Fluxicon Disco,work,complete
21,snack,2011/06/16 19:00:11.000,2011/06/16 19:03:58.000,Variant 2,2,Fluxicon Disco,snack,complete
21,eatingdrinking,2011/06/16 19:04:09.000,2011/06/16 19:09:28.000,Variant 2,2,Fluxicon Disco,eatingdrinking,complete
21,relax,2011/06/16 19:10:17.000,2011/06/16 19:51:11.000,Variant 2,2,Fluxicon Disco,relax,complete
21,watchtv,2011/06/16 20:01:57.000,2011/06/16 22:37:15.000,Variant 2,2,Fluxicon Disco,watchtv,complete
21,relax,2011/06/16 22:37:31.000,2011/06/16 23:33:39.000,Variant 2,2,Fluxicon Disco,relax,complete
21,watchtv,2011/06/16 23:35:45.000,2011/06/17 00:45:57.000,Variant 2,2,Fluxicon Disco,watchtv,complete
21,End,2011/06/17 00:45:57.000,2011/06/17 00:45:57.000,Variant 2,2,Fluxicon Disco,End,complete
31,Start,2011/06/17 00:46:17.000,2011/06/17 00:46:17.000,Variant 3,3,Fluxicon Disco,Start,complete
31,sleep,2011/06/17 00:46:17.000,2011/06/17 08:17:08.000,Variant 3,3,Fluxicon Disco,sleep,complete
31,work,2011/06/17 08:17:29.000,2011/06/17 08:18:04.000,Variant 3,3,Fluxicon Disco,work,complete
31,mealpreperation,2011/06/17 08:18:24.000,2011/06/17 08:29:42.000,Variant 3,3,Fluxicon Disco,mealpreperation,complete
31,eatingdrinking,2011/06/17 08:38:55.000,2011/06/17 08:40:06.000,Variant 3,3,Fluxicon Disco,eatingdrinking,complete
31,cleaning,2011/06/17 08:58:13.000,2011/06/17 08:58:17.000,Variant 3,3,Fluxicon Disco,cleaning,complete
31,medication,2011/06/17 08:59:32.000,2011/06/17 08:59:38.000,Variant 3,3,Fluxicon Disco,medication,complete
31,work,2011/06/17 09:00:58.000,2011/06/17 09:31:47.000,Variant 3,3,Fluxicon Disco,work,complete
31,watchtv,2011/06/17 09:49:13.000,2011/06/17 09:49:26.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,snack,2011/06/17 10:38:42.000,2011/06/17 10:55:38.000,Variant 3,3,Fluxicon Disco,snack,complete
31,outdoors,2011/06/17 10:55:43.000,2011/06/17 12:04:14.000,Variant 3,3,Fluxicon Disco,outdoors,complete
31,mealpreperation,2011/06/17 12:04:28.000,2011/06/17 12:05:21.000,Variant 3,3,Fluxicon Disco,mealpreperation,complete
31,work,2011/06/17 12:05:39.000,2011/06/17 12:14:54.000,Variant 3,3,Fluxicon Disco,work,complete
31,eatingdrinking,2011/06/17 12:15:24.000,2011/06/17 12:27:20.000,Variant 3,3,Fluxicon Disco,eatingdrinking,complete
31,work,2011/06/17 12:27:41.000,2011/06/17 12:37:48.000,Variant 3,3,Fluxicon Disco,work,complete
31,phone,2011/06/17 12:38:56.000,2011/06/17 12:42:32.000,Variant 3,3,Fluxicon Disco,phone,complete
31,outdoors,2011/06/17 12:43:19.000,2011/06/17 13:28:32.000,Variant 3,3,Fluxicon Disco,outdoors,complete
31,snack,2011/06/17 13:28:45.000,2011/06/17 13:30:20.000,Variant 3,3,Fluxicon Disco,snack,complete
31,work,2011/06/17 13:30:54.000,2011/06/17 13:38:10.000,Variant 3,3,Fluxicon Disco,work,complete
31,relax,2011/06/17 13:40:02.000,2011/06/17 13:43:41.000,Variant 3,3,Fluxicon Disco,relax,complete
31,snack,2011/06/17 13:43:49.000,2011/06/17 13:52:26.000,Variant 3,3,Fluxicon Disco,snack,complete
31,work,2011/06/17 14:00:41.000,2011/06/17 14:06:36.000,Variant 3,3,Fluxicon Disco,work,complete
31,watchtv,2011/06/17 14:07:28.000,2011/06/17 14:55:51.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,snack,2011/06/17 14:56:16.000,2011/06/17 15:11:24.000,Variant 3,3,Fluxicon Disco,snack,complete
31,eatingdrinking,2011/06/17 15:20:48.000,2011/06/17 15:21:28.000,Variant 3,3,Fluxicon Disco,eatingdrinking,complete
31,work,2011/06/17 15:25:09.000,2011/06/17 15:32:42.000,Variant 3,3,Fluxicon Disco,work,complete
31,work,2011/06/17 16:01:09.000,2011/06/17 16:01:41.000,Variant 3,3,Fluxicon Disco,work,complete
31,watchtv,2011/06/17 16:12:48.000,2011/06/17 18:02:14.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,medication,2011/06/17 18:03:03.000,2011/06/17 18:03:29.000,Variant 3,3,Fluxicon Disco,medication,complete
31,watchtv,2011/06/17 18:49:55.000,2011/06/17 19:02:30.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,toilet,2011/06/17 19:06:56.000,2011/06/17 19:08:47.000,Variant 3,3,Fluxicon Disco,toilet,complete
31,watchtv,2011/06/17 19:30:29.000,2011/06/17 19:30:40.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,snack,2011/06/17 19:31:21.000,2011/06/17 19:31:27.000,Variant 3,3,Fluxicon Disco,snack,complete
31,work,2011/06/17 19:46:55.000,2011/06/17 20:02:23.000,Variant 3,3,Fluxicon Disco,work,complete
31,watchtv,2011/06/17 20:04:19.000,2011/06/17 21:03:15.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,eatingdrinking,2011/06/17 21:03:21.000,2011/06/17 21:14:57.000,Variant 3,3,Fluxicon Disco,eatingdrinking,complete
31,work,2011/06/17 21:15:51.000,2011/06/17 22:52:08.000,Variant 3,3,Fluxicon Disco,work,complete
31,watchtv,2011/06/17 22:52:25.000,2011/06/18 00:43:25.000,Variant 3,3,Fluxicon Disco,watchtv,complete
31,End,2011/06/18 00:43:25.000,2011/06/18 00:43:25.000,Variant 3,3,Fluxicon Disco,End,complete
61,Start,2011/06/20 09:14:38.000,2011/06/20 09:14:38.000,Variant 4,4,Fluxicon Disco,Start,complete
61,mealpreperation,2011/06/20 09:14:38.000,2011/06/20 09:14:42.000,Variant 4,4,Fluxicon Disco,mealpreperation,complete
61,medication,2011/06/20 09:15:37.000,2011/06/20 09:15:42.000,Variant 4,4,Fluxicon Disco,medication,complete
61,eatingdrinking,2011/06/20 09:40:53.000,2011/06/20 09:42:04.000,Variant 4,4,Fluxicon Disco,eatingdrinking,complete
61,cleaning,2011/06/20 09:48:29.000,2011/06/20 09:48:42.000,Variant 4,4,Fluxicon Disco,cleaning,complete
61,work,2011/06/20 10:19:22.000,2011/06/20 10:19:56.000,Variant 4,4,Fluxicon Disco,work,complete
61,watchtv,2011/06/20 11:24:15.000,2011/06/20 11:24:33.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,work,2011/06/20 11:25:18.000,2011/06/20 11:25:55.000,Variant 4,4,Fluxicon Disco,work,complete
61,outdoors,2011/06/20 11:26:00.000,2011/06/20 11:56:46.000,Variant 4,4,Fluxicon Disco,outdoors,complete
61,watchtv,2011/06/20 11:57:04.000,2011/06/20 12:13:49.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,mealpreperation,2011/06/20 12:14:06.000,2011/06/20 12:21:40.000,Variant 4,4,Fluxicon Disco,mealpreperation,complete
61,eatingdrinking,2011/06/20 12:21:48.000,2011/06/20 12:27:52.000,Variant 4,4,Fluxicon Disco,eatingdrinking,complete
61,work,2011/06/20 12:28:25.000,2011/06/20 12:51:17.000,Variant 4,4,Fluxicon Disco,work,complete
61,outdoors,2011/06/20 12:51:47.000,2011/06/20 13:21:39.000,Variant 4,4,Fluxicon Disco,outdoors,complete
61,phone,2011/06/20 13:21:51.000,2011/06/20 13:22:50.000,Variant 4,4,Fluxicon Disco,phone,complete
61,watchtv,2011/06/20 13:24:57.000,2011/06/20 13:46:22.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,personalhygiene,2011/06/20 13:48:45.000,2011/06/20 13:48:49.000,Variant 4,4,Fluxicon Disco,personalhygiene,complete
61,cleaning,2011/06/20 13:49:52.000,2011/06/20 13:51:41.000,Variant 4,4,Fluxicon Disco,cleaning,complete
61,personalhygiene,2011/06/20 13:54:25.000,2011/06/20 13:54:38.000,Variant 4,4,Fluxicon Disco,personalhygiene,complete
61,mealpreperation,2011/06/20 14:00:37.000,2011/06/20 14:05:16.000,Variant 4,4,Fluxicon Disco,mealpreperation,complete
61,toilet,2011/06/20 14:06:01.000,2011/06/20 14:06:16.000,Variant 4,4,Fluxicon Disco,toilet,complete
61,mealpreperation,2011/06/20 14:06:22.000,2011/06/20 14:08:24.000,Variant 4,4,Fluxicon Disco,mealpreperation,complete
61,watchtv,2011/06/20 14:08:33.000,2011/06/20 14:09:30.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,personalhygiene,2011/06/20 14:09:36.000,2011/06/20 14:16:41.000,Variant 4,4,Fluxicon Disco,personalhygiene,complete
61,snack,2011/06/20 14:16:48.000,2011/06/20 14:31:43.000,Variant 4,4,Fluxicon Disco,snack,complete
61,watchtv,2011/06/20 14:31:47.000,2011/06/20 14:34:15.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,phone,2011/06/20 14:34:24.000,2011/06/20 14:35:17.000,Variant 4,4,Fluxicon Disco,phone,complete
61,watchtv,2011/06/20 14:36:33.000,2011/06/20 14:38:12.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,phone,2011/06/20 14:38:45.000,2011/06/20 14:41:53.000,Variant 4,4,Fluxicon Disco,phone,complete
61,work,2011/06/20 14:42:07.000,2011/06/20 14:42:38.000,Variant 4,4,Fluxicon Disco,work,complete
61,toilet,2011/06/20 14:43:30.000,2011/06/20 14:45:43.000,Variant 4,4,Fluxicon Disco,toilet,complete
61,work,2011/06/20 15:18:45.000,2011/06/20 15:19:43.000,Variant 4,4,Fluxicon Disco,work,complete
61,watchtv,2011/06/20 15:20:15.000,2011/06/20 15:23:24.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,mealpreperation,2011/06/20 16:17:32.000,2011/06/20 16:19:00.000,Variant 4,4,Fluxicon Disco,mealpreperation,complete
61,work,2011/06/20 16:28:12.000,2011/06/20 16:28:44.000,Variant 4,4,Fluxicon Disco,work,complete
61,watchtv,2011/06/20 19:11:46.000,2011/06/20 19:41:38.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,eatingdrinking,2011/06/20 19:42:23.000,2011/06/20 19:45:52.000,Variant 4,4,Fluxicon Disco,eatingdrinking,complete
61,work,2011/06/20 19:46:01.000,2011/06/20 20:00:36.000,Variant 4,4,Fluxicon Disco,work,complete
61,eatingdrinking,2011/06/20 20:00:41.000,2011/06/20 20:08:11.000,Variant 4,4,Fluxicon Disco,eatingdrinking,complete
61,work,2011/06/20 20:13:25.000,2011/06/20 20:13:36.000,Variant 4,4,Fluxicon Disco,work,complete
61,cleaning,2011/06/20 20:15:24.000,2011/06/20 20:15:40.000,Variant 4,4,Fluxicon Disco,cleaning,complete
61,work,2011/06/20 20:24:26.000,2011/06/20 20:26:40.000,Variant 4,4,Fluxicon Disco,work,complete
61,work,2011/06/20 21:01:42.000,2011/06/20 21:05:10.000,Variant 4,4,Fluxicon Disco,work,complete
61,watchtv,2011/06/20 21:51:36.000,2011/06/20 22:08:55.000,Variant 4,4,Fluxicon Disco,watchtv,complete
61,work,2011/06/20 22:10:45.000,2011/06/20 22:54:19.000,Variant 4,4,Fluxicon Disco,work,complete
61,medication,2011/06/20 22:56:21.000,2011/06/20 22:56:45.000,Variant 4,4,Fluxicon Disco,medication,complete
61,work,2011/06/20 23:59:32.000,2011/06/21 00:01:08.000,Variant 4,4,Fluxicon Disco,work,complete
61,End,2011/06/21 00:01:08.000,2011/06/21 00:01:08.000,Variant 4,4,Fluxicon Disco,End,complete
71,Start,2011/06/21 01:25:30.000,2011/06/21 01:25:30.000,Variant 5,5,Fluxicon Disco,Start,complete
71,sleep,2011/06/21 01:25:30.000,2011/06/21 01:25:58.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,eatingdrinking,2011/06/21 01:36:50.000,2011/06/21 01:37:41.000,Variant 5,5,Fluxicon Disco,eatingdrinking,complete
71,sleep,2011/06/21 01:37:52.000,2011/06/21 03:07:56.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,toilet,2011/06/21 03:07:58.000,2011/06/21 03:11:40.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,sleep,2011/06/21 05:03:10.000,2011/06/21 05:11:22.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,toilet,2011/06/21 05:11:26.000,2011/06/21 05:18:46.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,sleep,2011/06/21 06:41:47.000,2011/06/21 06:41:50.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,toilet,2011/06/21 06:47:16.000,2011/06/21 06:47:27.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,sleep,2011/06/21 08:08:48.000,2011/06/21 08:08:52.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,personalhygiene,2011/06/21 08:14:33.000,2011/06/21 08:17:27.000,Variant 5,5,Fluxicon Disco,personalhygiene,complete
71,mealpreperation,2011/06/21 08:21:23.000,2011/06/21 08:23:03.000,Variant 5,5,Fluxicon Disco,mealpreperation,complete
71,eatingdrinking,2011/06/21 08:23:27.000,2011/06/21 08:39:08.000,Variant 5,5,Fluxicon Disco,eatingdrinking,complete
71,toilet,2011/06/21 08:39:25.000,2011/06/21 08:39:50.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,cleaning,2011/06/21 08:40:08.000,2011/06/21 08:45:12.000,Variant 5,5,Fluxicon Disco,cleaning,complete
71,work,2011/06/21 08:45:24.000,2011/06/21 09:16:18.000,Variant 5,5,Fluxicon Disco,work,complete
71,watchtv,2011/06/21 09:24:18.000,2011/06/21 09:25:40.000,Variant 5,5,Fluxicon Disco,watchtv,complete
71,personalhygiene,2011/06/21 09:32:01.000,2011/06/21 09:32:09.000,Variant 5,5,Fluxicon Disco,personalhygiene,complete
71,watchtv,2011/06/21 09:41:59.000,2011/06/21 09:41:59.000,Variant 5,5,Fluxicon Disco,watchtv,complete
71,outdoors,2011/06/21 09:42:22.000,2011/06/21 10:00:34.000,Variant 5,5,Fluxicon Disco,outdoors,complete
71,work,2011/06/21 10:01:58.000,2011/06/21 10:13:57.000,Variant 5,5,Fluxicon Disco,work,complete
71,watchtv,2011/06/21 10:15:53.000,2011/06/21 11:07:45.000,Variant 5,5,Fluxicon Disco,watchtv,complete
71,toilet,2011/06/21 11:07:48.000,2011/06/21 11:14:05.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,snack,2011/06/21 11:14:13.000,2011/06/21 11:18:26.000,Variant 5,5,Fluxicon Disco,snack,complete
71,work,2011/06/21 11:18:43.000,2011/06/21 12:41:59.000,Variant 5,5,Fluxicon Disco,work,complete
71,personalhygiene,2011/06/21 12:42:14.000,2011/06/21 12:46:51.000,Variant 5,5,Fluxicon Disco,personalhygiene,complete
71,outdoors,2011/06/21 12:46:58.000,2011/06/21 14:37:17.000,Variant 5,5,Fluxicon Disco,outdoors,complete
71,eatingdrinking,2011/06/21 14:37:35.000,2011/06/21 14:41:10.000,Variant 5,5,Fluxicon Disco,eatingdrinking,complete
71,outdoors,2011/06/21 14:42:26.000,2011/06/21 16:30:29.000,Variant 5,5,Fluxicon Disco,outdoors,complete
71,work,2011/06/21 16:30:53.000,2011/06/21 16:41:18.000,Variant 5,5,Fluxicon Disco,work,complete
71,watchtv,2011/06/21 16:44:23.000,2011/06/21 16:44:24.000,Variant 5,5,Fluxicon Disco,watchtv,complete
71,toilet,2011/06/21 16:46:24.000,2011/06/21 16:47:22.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,mealpreperation,2011/06/21 17:32:41.000,2011/06/21 17:57:25.000,Variant 5,5,Fluxicon Disco,mealpreperation,complete
71,eatingdrinking,2011/06/21 17:58:07.000,2011/06/21 18:01:35.000,Variant 5,5,Fluxicon Disco,eatingdrinking,complete
71,watchtv,2011/06/21 18:01:39.000,2011/06/21 19:03:33.000,Variant 5,5,Fluxicon Disco,watchtv,complete
71,cleaning,2011/06/21 19:05:01.000,2011/06/21 19:05:10.000,Variant 5,5,Fluxicon Disco,cleaning,complete
71,medication,2011/06/21 19:05:49.000,2011/06/21 19:05:56.000,Variant 5,5,Fluxicon Disco,medication,complete
71,work,2011/06/21 19:27:34.000,2011/06/21 19:27:55.000,Variant 5,5,Fluxicon Disco,work,complete
71,toilet,2011/06/21 19:31:11.000,2011/06/21 19:31:23.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,sleep,2011/06/21 21:01:55.000,2011/06/21 21:02:00.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,eatingdrinking,2011/06/21 21:03:10.000,2011/06/21 21:55:07.000,Variant 5,5,Fluxicon Disco,eatingdrinking,complete
71,personalhygiene,2011/06/21 21:55:26.000,2011/06/21 22:05:03.000,Variant 5,5,Fluxicon Disco,personalhygiene,complete
71,work,2011/06/21 22:30:18.000,2011/06/21 22:30:35.000,Variant 5,5,Fluxicon Disco,work,complete
71,personalhygiene,2011/06/21 22:35:57.000,2011/06/21 22:36:54.000,Variant 5,5,Fluxicon Disco,personalhygiene,complete
71,sleep,2011/06/21 23:46:04.000,2011/06/21 23:46:05.000,Variant 5,5,Fluxicon Disco,sleep,complete
71,toilet,2011/06/21 23:52:24.000,2011/06/21 23:52:27.000,Variant 5,5,Fluxicon Disco,toilet,complete
71,End,2011/06/21 23:52:27.000,2011/06/21 23:52:27.000,Variant 5,5,Fluxicon Disco,End,complete
81,Start,2011/06/22 00:29:13.000,2011/06/22 00:29:13.000,Variant 6,6,Fluxicon Disco,Start,complete
81,sleep,2011/06/22 00:29:13.000,2011/06/22 00:29:21.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 00:34:08.000,2011/06/22 00:34:12.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 01:45:15.000,2011/06/22 01:45:17.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 01:52:02.000,2011/06/22 01:52:19.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 02:01:13.000,2011/06/22 02:01:16.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 02:08:20.000,2011/06/22 02:08:27.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 02:25:21.000,2011/06/22 02:25:27.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 02:40:20.000,2011/06/22 02:40:29.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 04:21:20.000,2011/06/22 04:21:28.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 04:40:45.000,2011/06/22 04:40:55.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 06:43:10.000,2011/06/22 06:43:15.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 06:50:07.000,2011/06/22 06:50:15.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,sleep,2011/06/22 08:53:18.000,2011/06/22 08:53:30.000,Variant 6,6,Fluxicon Disco,sleep,complete
81,toilet,2011/06/22 09:10:26.000,2011/06/22 09:11:27.000,Variant 6,6,Fluxicon Disco,toilet,complete
81,watchtv,2011/06/22 09:12:55.000,2011/06/22 09:13:09.000,Variant 6,6,Fluxicon Disco,watchtv,complete
81,groom,2011/06/22 09:20:22.000,2011/06/22 09:22:03.000,Variant 6,6,Fluxicon Disco,groom,complete
81,mealpreperation,2011/06/22 09:22:29.000,2011/06/22 09:27:36.000,Variant 6,6,Fluxicon Disco,mealpreperation,complete
81,eatingdrinking,2011/06/22 09:28:01.000,2011/06/22 09:50:15.000,Variant 6,6,Fluxicon Disco,eatingdrinking,complete
81,outdoors,2011/06/22 09:50:19.000,2011/06/22 11:43:51.000,Variant 6,6,Fluxicon Disco,outdoors,complete
81,work,2011/06/22 11:44:02.000,2011/06/22 11:50:12.000,Variant 6,6,Fluxicon Disco,work,complete
81,personalhygiene,2011/06/22 11:50:28.000,2011/06/22 11:54:35.000,Variant 6,6,Fluxicon Disco,personalhygiene,complete
81,work,2011/06/22 11:54:43.000,2011/06/22 12:47:18.000,Variant 6,6,Fluxicon Disco,work,complete
81,mealpreperation,2011/06/22 12:48:23.000,2011/06/22 12:51:15.000,Variant 6,6,Fluxicon Disco,mealpreperation,complete
81,eatingdrinking,2011/06/22 12:53:29.000,2011/06/22 13:03:07.000,Variant 6,6,Fluxicon Disco,eatingdrinking,complete
